category,text
Business,"Reuters - Wall Street's long-playing drama,
""Waiting for Google,"" is about to reach its final act, but its
stock market debut is ending up as more of a nostalgia event
than the catalyst for a new era."
Business,"Reuters - Short-sellers, Wall Street's dwindling
band of ultra-cynics, are seeing green again."
Business,"Reuters - Private investment firm Carlyle Group,
which has a reputation for making well-timed and occasionally
controversial plays in the defense industry, has quietly placed
its bets on another part of the market."
Business,"Reuters - Soaring crude prices plus worries
about the economy and the outlook for earnings are expected to
hang over the stock market next week during the depth of the
summer doldrums."
Business,"Reuters - Authorities have halted oil export
flows from the main pipeline in southern Iraq after
intelligence showed a rebel militia could strike
infrastructure, an oil official said on Saturday."
Business,"AFP - Tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections."
Business,"Reuters - Stocks ended slightly higher on Friday
but stayed near lows for the year as oil prices surged past $46
a barrel, offsetting a positive outlook from computer maker
Dell Inc. (DELL.O)"
Business,"AP - Assets of the nation's retail money market mutual funds fell by $1.17 billion in the latest week to $849.98 trillion, the Investment Company Institute said Thursday."
Business,"USATODAY.com - Retail sales bounced back a bit in July, and new claims for jobless benefits fell last week, the government said Thursday, indicating the economy is improving from a midsummer slump."
Business,"Forbes.com - After earning a PH.D. in Sociology, Danny Bazil Riley started to work as the general manager at a commercial real estate firm at an annual base salary of $70,000. Soon after, a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer. But, at 32, ""buying insurance was the furthest thing from my mind,"" says Riley."
Business,BAGHDAD (Reuters) - Iraq's oil exports were still running  at half their normal rate Sunday as instability due to an  anti-U.S. uprising prevented the re-opening of a main pipeline  feeding the country's terminals in the Gulf.
Business,"NEW YORK (Reuters) - Wall Street's long-playing drama,  ""Waiting for Google,"" is about to reach its final act, but its  stock market debut is ending up as more of a nostalgia event  than the catalyst for a new era."
Business,"NEW YORK (Reuters) - Short-sellers, Wall Street's dwindling  band of ultra-cynics, are seeing green again."
Business,"NEW YORK (Reuters) - Private investment firm Carlyle Group,  which has a reputation for making well-timed and occasionally  controversial plays in the defense industry, has quietly placed  its bets on another part of the market."
Business,NEW YORK (Reuters) - Soaring crude prices plus worries  about the economy and the outlook for earnings are expected to  hang over the stock market next week during the depth of the  summer doldrums.
Business,"LONDON (Reuters) - GlaxoSmithKline   Chief Financial  Officer John Coombe is set to retire in March when he turns 60,  the company said on Saturday."
Business,"TEHRAN (Reuters) - OPEC can do nothing to douse scorching  oil prices when markets are already oversupplied by 2.8 million  barrels per day (bpd) of crude, Iran's OPEC governor said  Saturday, warning that prices could fall sharply."
Business,"JAKARTA (Reuters) - Non-OPEC oil exporters should consider  increasing output to cool record crude prices, OPEC President  Purnomo Yusgiantoro said on Sunday."
Business,WASHINGTON/NEW YORK (Reuters) - The auction for Google  Inc.'s highly anticipated initial public offering got off to a  rocky start on Friday after the Web search company sidestepped  a bullet from U.S. securities regulators.
Business,NEW YORK (Reuters) - The dollar tumbled broadly on Friday  after data showing a record U.S. trade deficit in June cast  fresh doubts on the economy's recovery and its ability to draw  foreign capital to fund the growing gap.
Business,"If you think you may need to help your elderly relatives with their finances, don't be shy about having the money talk -- soon."
Business,The purchasing power of kids is a big part of why the back-to-school season has become such a huge marketing phenomenon.
Business,"There is little cause for celebration in the stock market these days, but investors in value-focused mutual funds have reason to feel a bit smug -- if only because they've lost less than the folks who stuck with growth."
Business,"The US trade deficit has exploded 19% to a record $55.8bn as oil costs drove imports higher, according to a latest figures."
Business,The price of crude oil reaches new record levels amid concerns about possible unrest in Venezuela and the threat of sabotage in Iraq.
Business,"Oil giant Shell could be bracing itself for a takeover attempt, possibly from French rival Total, a  press report claims."
Business,"The bidding gets underway for Google's public offering, despite last-minute worries over an interview with its bosses in Playboy magazine."
Business,"Official figures show the 12-nation eurozone economy continues to grow, but there are warnings it may slow down later in the year."
Business,"Swiss watchmaker Swatch, official timekeeper to the Athens Olympics, denies allegations of tax and customs duty evasion."
Business,Economic growth in Japan slows down as the country experiences a drop in domestic and corporate spending.
Business,"Interest rates are trimmed to 7.5% by the South African central bank,  but the lack of warning hits the rand and surprises markets."
Business,"The cost of buying both new and second hand cars fell sharply over the past five years, a new survey has found."
Business,South Korea's central bank cuts interest rates by a quarter percentage point to 3.5% in a bid to drive growth in the economy.
Business,"An auction of shares in Google, the web search engine which could be floated for as much as $36bn, takes place on Friday."
Business,"Hewlett-Packard shares fall after disappointing third-quarter profits, while the firm warns the final quarter will also fall short of expectations."
Business,One of the oldest textile operators on the Indian Ocean island of Mauritius last week shut seven factories and cut 900 jobs.
Business,"Chad asks the IMF for a loan to pay for looking after more than 100,000 refugees from conflict-torn Darfur in western Sudan."
Business,"Wal-Mart, the world's largest retailer, has been given the right to appeal a US judge's order giving the go-ahead for a huge sex discrimination lawsuit."
Business,"US retailer Toys-R-Us may sell its
Babies-R-Us unit after being hit by intense competition from retail chains such as Wal-Mart."
Business,The company running the Japanese nuclear plant hit by a fatal accident is to close its reactors for safety checks.
Business,"Japan's Mitsubishi Tokyo Financial Group signs a deal to take over troubled rival UFJ Holdings, forming the world's largest bank."
Business,"Trevor Baylis, the veteran inventor famous for creating the Freeplay clockwork radio, is planning to float his company on the stock market."
Business,Unions representing workers at Turner & Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.
Business,"Saudi Arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices."
Business,A group led by the UAE's Etisalat plans to spend $1bn (Â£544m) on expansion after winning two mobile phone licences in Saudi Arabia.
Business,Network Rail flies in specialist Indian engineers to work on the West Coast Mainline because of a UK skills shortage.
Business,British oil and gas firm Cairn Energy has signed a deal with Nepal to explore five new drilling areas in the Himalayan kingdom.
Business,"When J. Willard Marriott Jr. popped into Boston recently, it was an opportunity to talk with one of the most recognizable names in the world about the business he knows best: hotels. From a conference room in the Marriott Copley Plaza, the 72-year-old chairman and namesake of the 2,700-hotel Marriott Hotels International chain spoke with Globe reporter Keith Reed on ..."
Business,BEDFORD -- Scientists at NitroMed Inc. hope their experimental drugs will cure heart disease someday. But lately their focus has been on more mundane matters.
Business,I've submitted my bid to buy shares of Google Inc. in the computer search company's giant auction-style initial public offering. That could turn out to be the good news or the bad news.
Business,"Massachusetts bargain hunters showed up in droves and shopped hard on yesterday's sales tax holiday, buying everything from treadmills and snow blowers to candles and chandeliers, and crediting the 5-percent tax break with bringing them into the stores."
Business,"E-mail is a victim of its own success. That's the conclusion of IBM Corp. researchers in Cambridge, who have spent nearly a decade conducting field tests at IBM and other companies about how employees work and use electronic mail. It's clear to them that e-mail has become the Internet's killer application."
Business,"Even a genius can mess up. Bill Gates was a brilliant technologist when he cofounded Microsoft , but as he guided it to greatness in both size and historical consequence, he blundered. He terrorized underlings with his temper and parceled out praise like Scrooge gave to charity. Only the lash inspired the necessary aggressiveness to beat the competition, he thought."
Business,"Target the abusers of legal weapons We can all share the outrage, expressed by columnist Steve Bailey (''Summer Sizzler,"" Aug. 11), at the killings in the city's poor neighborhoods. But there's no need to share his ignorance. He argues for renewal of the so-called assault weapon ban, claiming that otherwise, ''UZIs and AK-47s could again be flooding the streets."" His ..."
Business,"NEW YORK -- Apparel retailers are hoping their back-to-school fashions will make the grade among style-conscious teens and young adults this fall, but it could be a tough sell, with students and parents keeping a tighter hold on their wallets."
Business,"In the year since the largest blackout in US history, utilities have fixed many of the problems that contributed to the breakdown but still haven't resolved larger issues that could lead to future outages, according to industry officials, regulators, and specialists."
Business,"Larry from Scottsdale, Ariz., was trying to compliment me recently, writing that ''he reads [my] column every week, right after I see how my mutual funds are doing."""
Business,How should I stabilize my financial future? I am 44 years old and my wife is 38. She declared bankruptcy a year ago under her own name; I did a bankruptcy in 1997. We were able to buy a house in May with an adjustable-rate mortgage that has a 7.99 percent interest rate as a result of our credit. I ...
Business,"President Bush has been saying that the US economy has ''turned the corner."" Democratic presidential candidate Senator John F. Kerry, in the wake of this month's poor jobs report, quipped that it was more like a U-turn."
Business,"A Marlborough-based technology company is suing five former employees, including three senior managers, for allegedly conspiring against their employer while working on opening a competing business."
Business,"Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key area of the square, with $830,000 in state grant money given to Lynn last week."
Business,"Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key area of the square, with $830,000 in state grant money given to Lynn last week."
Business,"A lawsuit against Gary Winnick, the former chief of Global Crossing, refocuses attention on what Mr. Winnick knew about his company's finances as it imploded."
Business,Russia is again emerging as a superpower - but the reason has less to do with nuclear weapons than with oil.
Business,"Kevin B. Rollins, the new chief executive of Dell, talks about Dell's transitory slip in customer service, and why he sees a broader technology recovery taking place."
Business,"With the country in need of cash and rich people dying to show off their wealth, Mr. Stein proposes a unique solution: having the government sell titles of nobility."
Business,"Nonprofit organizations have long used professional fund-raisers to help raise cash, often losing the bulk of the donations to the fund-raiser's fee."
Business,"Plus, IBM wants help, and is Google overexposed?"
Business,The casino operator posts a drop in earnings amid construction.
Business,"Amid signs of a mixed recovery in tech, Big Blue lays out a plan to add 18,000 workers."
Business,Banks let you get away with a lot more than you should.
Business,Quality Distribution is hammered after reporting a large loss for the second quarter.
Business,"Apple, Avid, and Adobe are leading actors on the digital video stage."
Business,"If Hurricane Charley blows your house down, how can you make your insurance company pay?"
Business,The software company's stock rises on improved second-quarter numbers.
Business,Reflections on a first Foolday.
Business,The company's results show that it's not grim all over tech world. Just all of it that isn't Dell.
Business,"After a tough year, Detroit's troubled carmaker is back -- thanks to a maverick designer and a car that is dazzling the hip-hop crowd"
Business,The troubles of Yukos drive up the price
Business,How rivals are taking aim at Apple's dominance in digital music
Business,Toyota's trendy youth brand gets a sporty coupe. Will kids get on board?
Business,Americans are spending more on tricking out the places where they swim. Here's a look at the new wave of accessories
Business,The 1960s communist's famous likeness is a hot item for modern-day capitalists
Business,Where does that hamburger come from? Those strawberries? America's ranchers and farmers think you have the right to know
Business,In 1993 six geeks had a digital nightmare that changed the culture. It's about to get far creepier
Business,Celebrity fashion is booming. These webpreneurs are bringing it to main street
Business,No other recording artist can channel American middle-class tastes quite like Chip Davis and his best-selling band
Business,Got a unique problem? Not to worry: you can find a financial planner for every specialized need
Business,"Today's customers are increasingly demanding, in Asia as elsewhere in the world.  Henry Astorga describes the complex reality faced by today's marketers, which includes much higher expectations than we have been used to.  Today's customers want performance, and they want it now!"
Business,"For first time visitors to China, one of the most stunning entry points is Shanghai. The view from the mouth of the Yangze River, which looks out over Shanghai and other cities,  reveals an incredible urban and industrial panorama, clearly one of the most rapidly developing areas among all the cities of the world.  And yet . . . The Chinese have described themselves as ""A plate of scattered sand grains"" that would never join or unite with each other.  Piset, in his latest Awakening Dragon column, tells the story of Two Bridges to illustrate just some of the underlying dynamics of China's explosive economic growth."
Business,"Well, it's election time in the Republic of the Philippines, and that means the monkeys are rolling around in those political barrels, having as much fun as they can while laughing their heads off at the strange goings-on that characterize a democratic process loosely based on the American model  but that de facto looks more like a Fellini movie crossed with a Tom and Jerry cartoon - column includes a useful election-year glossary!"
Business,The word 'globalization' seems to have evolved into a cliche and handy dandy fighting word for ideologues. The alternative (and often conflicting) definitions and interpretations are enough to make you dizzy.
Business,"Why General Motors dropped the Oldsmobile. The four brand  paradoxes GM had to face - the name, the product, image re-positioning, and the consumer - all added up to a brand that had little hope of rebranding."
Business,"Although a smattering of Chinese, Filipinos, Japanese, Indians, Thais, and others may crow about seeing their kind sitting in prominent positions in corporations and organizations in the USA, these accomplishments become mere cultural high-fives and ritualistic chest-thumping goaded and impishly patronized by 'mainstream society' - the milder and gentler term for the white-dominated populace."
Business,"The Blues is alive and well in the Philippines, as evidenced by this appreciation of the Pinoy Blues band 'Lampano Alley', penned by columnist Clarence Henderson as a counterpoint to his usual economics, business, and culture fare."
Business,"Thailand, after escaping the worst ravages of SARS and terror attacks, is the place of choice for APMF readers right now in our 'Best Places in Asia' survey. After more than 5,000 votes since March 2003, Thailand dominates the tourism categories (Best Business Hotel, Restaurant, Hawker Food, Tourist Resort, Bar, and Guest House) but Bali, Hong Kong, and Malaysia lead other sections such as Best Airline, Airport, City, and Tourism Destination."
Business,"Chiang Mai is the surprise leader in the newest category of the APMF Asian Business Travel Survey, nudging out Singapore, Kuala Lumpur, Bangkok and Hong Kong as the most livable city in Asia. Add your vote and reasons to make your opinion count. Our Best Airlines survey has also surpassed the 1,000 respondent mark, with Cathay Pacific extending their lead over Singapore Airlines."
Business,"Globalization does strange things to people. A day in the life of a Manila Philippines based business consultant - proving that you really CAN talk about Muddy Walters, bluegrass and work all on the same page..."
Business,"The new APMF survey of the best Asian tourism destinations has just kicked off, but it's crowded at the top, with Chiang Mai in Thailand just leading from perennial favourites Hong Kong, Bangkok and Phuket in Thailand, and Bali in  Indonesia. Be one of the first to vote and let us know your reasons."
Business,"One of our new categories in the APMF Sense of Place survey is for best Asian business city. After a couple of days, Singapore leads the pack, followed by Bangkok, Thailand and Hong Kong. Enter your vote and comments and make your views count. More new categories include best city for livability, and best tourism destinations."
Business,Job No. 1 for the first CIOs to emerge in corporate shops almost 20 years ago was to make sure the business goals of the corner office were being served by the technologies put in place by the IT department. They were to be the bridge between two very different cultures.
Business,"Contract manufacturing -- that is, owning the brand but outsourcing the manufacturing -- started as a trickle in the 1980s and is now reaching flood proportions. But hold on to your life raft, because the tide is about to get even higher."
Business,"I grew up in New York, where giant alligators -- sometimes more ornately described as albino alligators -- were rumored to roam the cityâs sewer systems. According to legend, vacationers picked up the tiny crocodilians in Florida, brought them home to New York, and eventually flushed the little buggers when they grew too big for the local concrete jungle."
Business,"Do most IT projects fail? Some point to the number of giant consultancies such as IBM Global Services, Capgemini, and Sapient, who feed off bad experiences encountered by enterprises. âSapient is a company founded on the realization that IT projects are not successful,â says Sapient CTO Ben Gaucherin."
Business,"SAN FRANCISCO - Online auction giant eBay Inc. has acquired a 25 percent stake in San Francisco classified advertisements Web site Craigslist, the companies said Friday. ADVERTISEMENT SBC Case Study: Crate & Barrel What sold them on improving their network? A system that could cut management costs from the get-go. Find out more."
Business,"Protectionist barriers such as visa restrictions may only accelerate the trend of U.S. companies outsourcing software development work offshore, according to IT market analyst Edward Yourdon in a book on outsourcing, scheduled for release October."
Business,BEA Systems Inc. has hired the Computer Associates International Inc. executive responsible for CA's Unicenter line of enterprise management software to head BEA's product development group.
Business,"Autodesk  this week unwrapped an updated version of its hosted project collaboration service targeted at the construction and manufacturing industries. Autodesk Buzzsaw lets multiple, dispersed project participants -- including building owners, developers, architects, construction teams, and facility managers -- share and manage data throughout the life of a project, according to Autodesk officials."
Business,"LONDON -- The U.K.'s National Health Service (NHS) has tapped IT researcher Gartner Inc. to provide market intelligence services as the health organization forges ahead with a mammoth, Â£5 billion ($9.2 billion) project to upgrade its information technology infrastructure."
Business,"Symantec Corp. has lowered its reported revenue for the first quarter of fiscal 2005 by $20 million after discovering that it had incorrectly configured an internally developed accounting tool, the company announced Monday."
Business,"Even though Google's two founders gave an interview to Playboy magazine in the midst of its IPO filing, the SEC allowed the company's offering to go ahead. The boys filed the interview with the SEC and corrected mistakes in it."
Business,An interview with Google's co-founders due out in the current issue of Playboy may delay the company's IPO. Securities regulations restrict what executives can say while preparing to sell stock for the first time.
Business,"The store chain will launch a Web DVD rental service like Netflix -- only cheaper. Also: American troops get access to Napster & hellip;. Microsoft offers XP lite in Asia to recapture business lost to Linux, piracy & hellip;. and more."
Business,"Google's offbeat approach to its upcoming stock offering is creating plenty of headaches for Wall Street underwriters. But if all ends well, the complex, auction-style offering will represent Google's most profitable option. By Joanna Glasner."
Business,"New rules will force wireless telecommunications companies to disclose serious network outages, but the public won't have access to the information for fear that terrorists may read it. By Ryan Singel."
Business,A music retailer from the Netherlands beats Apple by launching a download service in Europe's latest market battleground. Also: Movie industry wrests agreement from defunct company.... Microsoft challenges Photoshop & hellip;. and more.
Business,Hewlett-Packard will pay $297 million for the British company. Also: TiVo goes all out to attract customers & hellip;. Sprint offers service guarantees for business wireless subscribers & hellip;. and more.
Business,"Verizon plans to offer a service that would act as a virtual switchboard operator, letting customers stay in touch at all times. The program would send phone calls, voicemails and e-mails wherever customers designate. By Elisa Batista."
Business,A new Internet advertising forecast shows a slowdown in paid search listings in the next five years. Will the projection affect Google's prospects when it goes public?
Business,"Blogs are the hottest thing on the Net, but are they messing with traditional publishing principles? One of the most popular, Fark.com, is allegedly selling links. Is it the wave of the future? By Daniel Terdiman."
Business,"The online news business has a curious imbalance: Far more men read news on the Web than women. For online publishers seeking to steal advertising money from TV, this is a boon. But editors are worried something is off-kilter with online news. By Laila Weir."
Sci/Tech,"Reuters - Was absenteeism a little high
on Tuesday among the guys at the office? EA Sports would like
to think it was because ""Madden NFL 2005"" came out that day,
and some fans of the football simulation are rabid enough to
take a sick day to play it."
Sci/Tech,"Reuters - A group of technology companies
including Texas Instruments Inc. (TXN.N), STMicroelectronics
(STM.PA) and Broadcom Corp. (BRCM.O), on Thursday said they
will propose a new wireless networking standard up to 10 times
the speed of the current generation."
Sci/Tech,"Reuters - America Online on Thursday said it
plans to sell a low-priced PC targeting low-income and minority
households who agree to sign up for a year of dialup Internet
service."
Sci/Tech,"Reuters - A group of consumer electronics
makers said on Wednesday they approved the format for a new
generation of discs that can store five times the data of DVDs
at the same cost -- enough to put a full season of ""The
Sopranos"" on one disc."
